id,Gender,Age,Grade,Class,item,session,accuracy,skip,help,self,math_anxiety,buoyancy,avoidance,sc_trait,worry,sc_state,test_anxiety,math_ability_T0,trait_buoy_1,trait_buoy_2,trait_buoy_3,trait_buoy_4,trait_avoidance_1,trait_avoidance_2,trait_avoidance_3,trait_avoidance_4,trait_avoidance_5,trait_avoidance_6,trait_avoidance_7,trait_avoidance_8,trait_avoidance_9,trait_avoidance_10
dv4a01,M,NA,4,NA,74,1,1,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,83,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,77,1,1,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,26,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,27,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,94,1,1,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,12,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,92,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,53,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,63,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,13,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,48,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,11,1,1,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,30,1,1,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,24,1,1,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,100,1,1,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,61,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,34,1,1,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,45,1,1,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,19,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,52,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,59,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,97,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,90,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,28,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,16,1,1,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,7,1,1,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,8,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,76,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,41,1,1,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,67,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a01,M,NA,4,NA,73,1,0,NA,NA,NA,33,16,19,20,6,7,52,12,4,5,4,3,2,2,3,3,3,1,1,1,2,1
dv4a02,F,NA,4,NA,61,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,79,1,1,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,62,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,27,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,73,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,99,1,1,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,11,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,44,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,77,1,1,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,42,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,98,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,45,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,93,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,12,1,1,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,72,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,22,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,55,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,33,1,1,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,6,1,1,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,96,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,58,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,2,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
dv4a02,F,NA,4,NA,92,1,0,NA,NA,NA,35,9,12,23,4,9,53,11,2,3,3,1,2,1,1,2,1,1,1,1,1,1
