"id","Gender","Age","Grade","Class","item","session","accuracy","skip","help","self","math_anxiety","buoyancy","avoidance","sc_trait","worry","sc_state","math_ability_T0"
1,"M",9.9,4,1,4,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,6,1,1,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,7,1,1,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,10,1,1,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,11,1,1,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,12,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,13,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,14,1,1,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,15,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,17,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,18,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,19,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,21,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,22,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,27,1,1,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,28,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,31,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,32,1,1,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,33,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,34,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,41,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,42,1,1,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,45,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,47,1,1,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,48,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,49,1,1,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,52,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,53,1,1,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,54,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,60,1,0,NA,NA,NA,24,25,28,19,5,6,11
1,"M",9.9,4,1,1,2,0,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,2,2,1,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,3,2,0,0,1,0,24,25,28,19,5,6,11
1,"M",9.9,4,1,5,2,1,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,8,2,0,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,9,2,1,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,16,2,0,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,20,2,0,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,23,2,1,0,1,0,24,25,28,19,5,6,11
1,"M",9.9,4,1,24,2,0,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,25,2,0,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,26,2,1,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,29,2,1,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,30,2,0,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,35,2,0,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,36,2,1,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,37,2,1,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,38,2,1,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,39,2,0,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,40,2,1,0,1,0,24,25,28,19,5,6,11
1,"M",9.9,4,1,43,2,1,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,44,2,0,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,46,2,1,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,50,2,1,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,51,2,0,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,55,2,0,0,1,0,24,25,28,19,5,6,11
1,"M",9.9,4,1,56,2,1,0,0,1,24,25,28,19,5,6,11
1,"M",9.9,4,1,57,2,1,0,0,1,24,25,28,19,5,6,11
